dms,epoch,avg_zero_shot_fitness_spearman
AMIE_PSEAE_Wrenbeck_2017,-1,0.5568903554161347
AMIE_PSEAE_Wrenbeck_2017,0,0.5834127937075366
AMIE_PSEAE_Wrenbeck_2017,1,0.6078722345994174
AMIE_PSEAE_Wrenbeck_2017,2,0.6122921578491196
AMIE_PSEAE_Wrenbeck_2017,3,0.602965102901283
AMIE_PSEAE_Wrenbeck_2017,4,0.5801994022849777
ANCSZ_Hobbs_2022,-1,0.6093008095643682
ANCSZ_Hobbs_2022,0,0.5837741015509522
ANCSZ_Hobbs_2022,1,0.5468926037509072
ANCSZ_Hobbs_2022,2,0.5181314729641625
ANCSZ_Hobbs_2022,3,0.5008966481230727
ANCSZ_Hobbs_2022,4,0.4885571939686156
ARGR_ECOLI_Tsuboyama_2023_1AOY,-1,0.4964735717322099
ARGR_ECOLI_Tsuboyama_2023_1AOY,0,0.5012735253116618
ARGR_ECOLI_Tsuboyama_2023_1AOY,1,0.4906884593306935
ARGR_ECOLI_Tsuboyama_2023_1AOY,2,0.3781181155408341
ARGR_ECOLI_Tsuboyama_2023_1AOY,3,0.3551097684068135
ARGR_ECOLI_Tsuboyama_2023_1AOY,4,0.3593989574786113
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,-1,0.26841922069357177
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,0,0.2315874964124548
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,1,0.21810931784735074
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,2,0.21465685642913876
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,3,0.20626034281666578
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,4,0.19943576309377692
BBC1_YEAST_Tsuboyama_2023_1TG0,-1,0.47907721819415017
BBC1_YEAST_Tsuboyama_2023_1TG0,0,0.3923654793757436
BBC1_YEAST_Tsuboyama_2023_1TG0,1,0.3709480644884064
BBC1_YEAST_Tsuboyama_2023_1TG0,2,0.37174263888881537
BBC1_YEAST_Tsuboyama_2023_1TG0,3,0.3623755939136428
BBC1_YEAST_Tsuboyama_2023_1TG0,4,0.34161265754289766
BCHB_CHLTE_Tsuboyama_2023_2KRU,-1,0.5098791208408558
BCHB_CHLTE_Tsuboyama_2023_2KRU,0,0.4500544664498282
BCHB_CHLTE_Tsuboyama_2023_2KRU,1,0.41170873771298455
BCHB_CHLTE_Tsuboyama_2023_2KRU,2,0.41102949447153103
BCHB_CHLTE_Tsuboyama_2023_2KRU,3,0.4071586994927327
BCHB_CHLTE_Tsuboyama_2023_2KRU,4,0.3980245200298465
BLAT_ECOLX_Deng_2012,-1,0.5280935188335961
BLAT_ECOLX_Deng_2012,0,0.5329882502449934
BLAT_ECOLX_Deng_2012,1,0.5114947638533445
BLAT_ECOLX_Deng_2012,2,0.459192801212692
BLAT_ECOLX_Deng_2012,3,0.4175273229415144
BLAT_ECOLX_Deng_2012,4,0.38000015358053063
BLAT_ECOLX_Firnberg_2014,-1,0.7371280501500458
BLAT_ECOLX_Firnberg_2014,0,0.7295253732426769
BLAT_ECOLX_Firnberg_2014,1,0.6828214024312423
BLAT_ECOLX_Firnberg_2014,2,0.5874157944697591
BLAT_ECOLX_Firnberg_2014,3,0.49748879013544656
BLAT_ECOLX_Firnberg_2014,4,0.4566917055307904
BLAT_ECOLX_Jacquier_2013,-1,0.7038052227475271
BLAT_ECOLX_Jacquier_2013,0,0.7093053542551689
BLAT_ECOLX_Jacquier_2013,1,0.6873613020723002
BLAT_ECOLX_Jacquier_2013,2,0.606394192305132
BLAT_ECOLX_Jacquier_2013,3,0.5584064467164367
BLAT_ECOLX_Jacquier_2013,4,0.5226546226412092
BLAT_ECOLX_Stiffler_2015,-1,0.7315124859969391
BLAT_ECOLX_Stiffler_2015,0,0.7246609157594893
BLAT_ECOLX_Stiffler_2015,1,0.6759613631107955
BLAT_ECOLX_Stiffler_2015,2,0.578759590181112
BLAT_ECOLX_Stiffler_2015,3,0.5159935293697837
BLAT_ECOLX_Stiffler_2015,4,0.4614782746121773
BRCA1_HUMAN_Findlay_2018,-1,0.5154255510898349
BRCA1_HUMAN_Findlay_2018,0,0.4807962676130771
BRCA1_HUMAN_Findlay_2018,1,0.46346743341278324
BRCA1_HUMAN_Findlay_2018,2,0.45095598037115175
BRCA1_HUMAN_Findlay_2018,3,0.4404207384009819
BRCA1_HUMAN_Findlay_2018,4,0.42848459211138074
BRCA2_HUMAN_Erwood_2022_HEK293T,-1,0.5106688247204633
BRCA2_HUMAN_Erwood_2022_HEK293T,0,0.512215143347219
BRCA2_HUMAN_Erwood_2022_HEK293T,1,0.5013489985684624
BRCA2_HUMAN_Erwood_2022_HEK293T,2,0.4820496782264409
BRCA2_HUMAN_Erwood_2022_HEK293T,3,0.4733114948606508
BRCA2_HUMAN_Erwood_2022_HEK293T,4,0.4660506325848929
